INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat
1060,GB,219,Western Approaches to the Orkney and Shetland Islands,58.4766666667,61,8.6966666667,0.1016666667,90/12,500000,55°00'N
1061,GB,2635,"Scotland, West Coast",55,59.165,9.2683333333,4.2666666667,83/11,500000,55°00'N
1500,GB,1233,Northern Approaches to the Shetland Islands,60.0993333333,61.1626666667,2.8165,-0.4978333333,84/12,200000,58°00'N
1501,GB,1119,Orkney and Shetland Islands Fair Isle Channel,59.3106666667,60.4163333333,3.2221666667,-0.4978333333,84/12,200000,58°00'N
1502,GB,1942,Fair Isle to Wick,58.4411666667,59.558,3.2221666667,-0.4978333333,88/13,200000,58°00'N
1503,GB,115,"Scotland-East Coast, Moray Firth",57.5663333333,58.7111666667,4.4016666667,1.0868333333,93/13,200000,58°00'N
1504,GB,1409,Buckie to Arbroath,56.4163333333,58.2096666667,3.035,0.8703333333,93/13,200000,58°00'N
1530,GB,3298,Yell Sound,60.4351666667,60.7315,1.202,1.0145,86/12,30000,**
1531,GB,3297,Sullom Voe,60.3876666667,60.5045,1.3853333333,1.2423333333,87/00,12500,**
1532,GB,2581,Southern approaches to Scapa Flow,58.6343333333,58.8913333333,3.1783333333,2.8871666667,87/10,26000,**
1540,GB,1889,Cromarty Firth Cromarty Bank to Invergordon,57.6488333333,57.7338333333,4.1815,3.9351666667,90/10,15000,**
1540PlanA,GB,1889,Plan A - Invergordon,57.68,57.69,4.18,4.1566666667,90/10,5000,**
1542,GB,1446,Aberdeen Harbour,57.1286666667,57.1598333333,2.0975,2.0193333333,94/10,7500,**
1542PlanA,GB,1446,Plan A – Approaches to Aberdeen,57.1246666667,57.1933333333,2.0975,1.9413333333,94/10,15000,**
1600,GB,1234,North Western Approaches to the Orkney Islands,59.3105,60.4161666667,5.3146666667,2,84/11,200000,58°00'N
1601,GB,1954,Cape Wrath to Pentland Firth including the Orkney Islands,58.4328333333,59.5498333333,5.566,2.2516666667,88/11,200000,58°00'N
1602,GB,2720,Flannan Isles to Sule Skerry,58.195,59.337,8.1048333333,4.3848333333,83/11,200000,58°00'N
1603,GB,2721,Saint Kilda to Butt of Lewis,57.5103333333,58.6746666667,9.4493333333,6.1346666667,83/11,200000,58°00'N
1625,GB,1794,"North Minch, Southern Part",57.6903333333,58.2663333333,6.7773333333,5.0595,83/13,100000,57°30'N
1626,GB,1795,"The Little Minch, Southern Part",56.8898333333,57.7516666667,7.4093333333,6.2916666667,83/11,100000,57°30'N
1630,GB,1757,"The Little Minch, Northern Part",57.3766666667,58.2666666667,7.071,5.9533333333,07/13,100000,57°30'N
