1411,DK,94,Horns Rev (approaches to Esbjerg),54.9166666667,55.6833333333,-6.7833333333,-8.75,03/13,130000,56°00'N
1412,DE,103,Helgoland bis Rømø,53.9666666667,55.2166666667,-7.4,-9.0333333333,84/12,150000,54°00'N
1413,DE,87,Borkum bis Neuwerk und Helgoland,53.3108333333,54.3325,-6.1653333333,-8.662,84/13,150000,54°00'N
1416,NL/GB,1630,West Hinder and Outer Gabbard to Vlissingen and Scheveningen,51.37,52.3616666667,-1.9666666667,-4.3166666667,05/10,150000,51°00'N
1417,NL/GB,1633,Friesland Junction and GW/EMS to Vlieland and Borkum,53.2,54.2166666667,-4.2,-6.715,05/10,150000,54°00’N
1418,NL/GB,1631,DW Routes to Ijmuiden and Texel,52.2783333333,53.25,-2.55,-4.9,05/10,150000,51°00’N
1420,NL/GB,1632,DW Routes and Friesland Junction to Vlieland,53.1666666667,54.185,-2.5333333333,-5.0483333333,05/11,150000,54°00'N
1451,DK,95,(Denmark – West Coast) Grådyb,55.3995,55.516,-8.1781666667,-8.4851666667,87/11,20000,56°00'N
1451PlanA,DK,95,Plan A - Esbjerg Nord,55.4643333333,55.4796666667,-8.407,-8.4388333333,87/11,12500,-0
1451PlanB,DK,95,Plan B – Esbjerg Sud,55.4498333333,55.465,-8.4286666667,-8.4688333333,87/11,12500,-0
1452,DE,44,Elbmündung (The Elbe Scharhörn Riff to Medemgrund),53.75,54.0833333333,-8.1066666667,-8.9383333333,85/13,50000,54°00'N
1452PlanA,DE,44,Plan A - Cuxhaven,53.8441666667,53.8933333333,-8.6866666667,-8.7633333333,85/13,12500,-0
1453,DE,46,Die Elbe von der Oste bis Brunsbuttel und Krautsand (The Elbe – Belum to Krautsand),53.7416666667,53.9333333333,-8.93,-9.4283333333,84/13,30000,54°00'N
1453PlanA,DE,46,Plan A - Die Oste von Geversdorf bis Osten,53.69,53.8083333333,-9.0733333333,-9.1883333333,84/13,5000,53°45’N
1453PlanB,DE,46,Plan B – Hafen und Schleusenanlagen von Brunsbüttel,53.875,53.92,-9.0783333333,-9.2066666667,84/13,15000,53°54’N
1453PlanC,DE,46,Plan C - Hafen von Glückstadt,53.7816666667,53.7916666667,-9.4066666667,-9.4266666667,84/13,10000,53°47’N
1453PlanD,DE,46,Plan D - Dornbusch,53.7166666667,53.7516666667,-9.33,-9.3883333333,84/13,30000,54°00’N
1453PlanE,DE,46,Plan E Part 1 –Die Stör von Wewelsfleth bis Itzehoe,53.8341666667,53.9158333333,-9.3983333333,-9.4566666667,84/13,30000,54°00’N
1453PlanF,DE,46,Plan F – Part 2 - Die Stör von Hörn bis Itzehoe,53.9125,53.9358333333,-9.42,-9.5283333333,84/13,30000,54°00’N
1454,DE,47,Die Elbe von Krautsand bis Schulau,53.5333333333,53.7666666667,-9.3666666667,-9.7083333333,85/14,30000,54°00’N
1454PlanA,DE,47,Plan A – Stadersand,53.605,53.6666666667,-9.505,-9.57,85/14,15000,53°38’N
1455,DE,48,Die Elbe von Schulau Bis Hambourg,,,,,89/11,Various,
1455PartA,DE,48,Part A – Die Elbe von Schulau bis Teufelsbrück,53.5183333333,53.5866666667,-9.6483333333,-9.8733333333,89/11,30000,54°00’N
1455PartB,DE,48,Part B - Hafen von Hamburg,53.4625,53.5541666667,-9.8183333333,-10.04,89/11,15000,53°30’N
1456,DE,2,Mündungen der Jade und Weser (Approaches to the Jade and Weser),53.6791666667,54.0066666667,-7.6833333333,-8.515,86/13,50000,54°00’N
1456PlanA,DE,2,Plan A - Dove Harle,53.7683333333,53.7916666667,-7.8191666667,-7.8725,86/13,25000,53°47’N
1457,DE,4,Die Weser von Robbensordsteert bis Bremerhaven und Nordenham,53.48,53.7166666667,-8.305,-8.5933333333,00/12,25000,54°00’N
1457PlanA,DE,4,Plan A – Hafen von Bremerhaven,53.525,53.5816666667,8.5466666667,-8.595,00/12,12500,53°33’N
1457PlanB,DE,4,Plan B – Continuation of Hafen von Bremerhaven,53.495,53.5283333333,-8.5716666667,-8.5916666667,00/12,12500,53°33’N
1458,DE,5,Die Weser von Nordenham bis Farge Part 1,53.3266666667,53.5,#WERT!,-8.5416666667,07/09,25000,54°00’N
1458,DE,5,Die Weser von Nordenham bis Farge Part 2,53.1816666667,53.3556666667,-8.3666666667,-8.5416666667,07/09,25000,54°00’N
1458PlanA,DE,5,Plan A - Hafen von Brake,53.325,Err:502,-8.48,-8.4966666667,07/09,10000,53°20’N
1458PlanB,DE,5,Plan B - Hafen von Elsfleth,53.225,53.2483333333,-8.4566666667,-8.4733333333,07/09,10000,53°10‘N
1458PlanC1,DE,5,Plan C1 - Die Hunte von Huntebrück bis Oldenburg,53.15,53.2033333333,-8.32,-8.4533333333,07/09,50000,53°10’N
1458PlanC2,DE,5,Plan C2 - Die Hunte von Huntebrück bis Oldenburg,53.1166666667,53.1666666667,-8.2,-8.3333333333,07/09,50000,53°10‘N
1458PlanD,DE,5,Plan D – Hafen von Oldenburg,53.1375,53.145,-8.2183333333,-8.255,07/09,20000,53°08’N
1458PlanE,DE,5,Plan E – Huntemündung,53.245,53.2625,-8.4691666667,-8.4875,07/09,10000,53°15’N
