1011,DK,80,Waters around the Faroe Islands,59.9166666667,63.3833333333,9.425,4.49,01/11,400000,62°00’N
1040,GB,2182D,Norwegian Sea – Føroyar to Bergen,60.3333333333,64.1666666667,8.3166666667,-5.8333333333,92/11,750000,58°30'N
1041,GB,2182C,North Sea – Northern Sheet,57.0833333333,61.2386666667,3.8333333333,8.772,92/13,750000,58°30'N
1042,GB,2182B,North Sea – Central Sheet,53.5583333333,58.115,3.35,-9.2516666667,73/11,750000,58°30'N
1043,NL,1014,(Nordsee Südblatt) North Sea – Southern Sheet,50.8333333333,55.6666666667,2.1666666667,-10.1666666667,73/13,750000,58°30'N
1044,DK,93,Nordsøen Jyllands Vestkyst,54.9993333333,57.1993333333,-2.9986666667,-9.1653333333,83/10,375000,54°00’N
1044PlanA,DK,93,Plan A - Hanstholm,57.1166666667,57.1278333333,-8.588,-8.6045,83/10,12500,54°00’N
1044PlanB,DK,93,Plan B - Hvide Sande,55.997,56.0103333333,-8.107,-8.1316666667,83/10,12500,56°00’N
1045,DE,50,Nordsee Deutsche Bucht (Terschelling to Esbjerg),53.4166666667,55.9166666667,-3.1666666667,-9.3333333333,86/13,375000,54°00’N
1046,NL,1035,Cap Gris Nez to Dogger Bight and Friesland Junction,50.8333333333,54.25,-1.1666666667,-4.8833333333,88/08,375000,54°00'N
1063,GB,2649,Western Approaches to the English Channel,48.3333333333,51.5586666667,13.4608333333,4.8666666667,88/03,500000,55°00'N
1070,GB,2675,English Channel,48,51.2466666667,6.7283333333,-1.8666666667,91/03,500000,55°00'N
1400,NO,306,Kristiansand-Utsira,57.0833333333,59.3333333333,-2.3333333333,-8.1666666667,12/,350000,58°12.5’N
1401,NO,307,Stavanger-Florø,58.8,61.8666666667,-1.2333333333,-5.8333333333,13/,350000,60°30’N
1402,NO,308,Florø - Smøla,61.4166666667,63.5,-2.6666666667,-8.25,14/,350000,62°30’N
1611,GB,1178,Approaches to the Bristol Channel,49.89,52.2336666667,6.6655,4.5011666667,94/12,200000,58°00'N
