1072,FR,7312,La Manche (Partie Est) - Des Casquets au Pas de Calais,49.0816666667,51.5916666667,3.0016666667,-2.7483333333,94/09,375000,50°00'
1703,GB,2450,Anvil Point to Beachy Head,49.8986666667,50.9228333333,1.9848333333,0.366,91/08,150000,51°00'N
1704,FR,6824,La Manche - Du Cap D’Antifer au Cap Gris-Nez - De Newhaven à Dover,49.6716666667,51.1716666667,-0,-1.5983333333,81/12,152000,50°25'N
1705,FR,6857,Du Cap La Hague à Fécamp. Baie De Seine,49.1783333333,50.215,1.9583333333,-0.3916666667,96/12,150000,49°41'N
1729,GB,2035,Western Approaches to the Solent,50.6071666667,50.776,1.7868333333,1.398,00/13,25000,**
1730,GB,2036,The Solent and Southampton Water,50.7151666667,50.884,1.4561666667,1.0665,00/13,25000,**
1731,GB,2037,Eastern Approaches to the Solent,50.5671666667,50.8146666667,1.1496666667,0.8846666667,00/13,25000,**
1732,GB,2631,Portsmouth Harbour,50.7821666667,50.8483333333,1.1571666667,1.088,00/12,7500,**
1732PlanA,GB,2631,Plan A – Continuation of Fareham Lake,50.836,50.8501666667,1.1796666667,1.1511666667,00/12,7500,**
1733,GB,2041,Port of Southampton,50.8651666667,50.922,1.4848333333,1.3455,86/12,10000,**
1734,GB,2044,Approaches to Shoreham,50.7756666667,50.8365,0.29,0.2046666667,90/13,15000,**
1734PlanA,GB,2044,Plan A - Shoreham Harbour - Western Arm and River Ador,50.8223333333,50.8361666667,0.2871666667,#WERT!,90/13,5000,**
1734PlanB,GB,2044,Plan B - Shoreham Harbour - Eastern Arm and The Canal,50.8223333333,50.8361666667,0.2515,0.1983333333,90/13,5000,**
1735,GB,2154,Newhaven Harbour,50.7715,50.7998333333,-0.043,-0.0758333333,98/13,5000,**
1736,GB,1698,Dover,51.0978333333,51.1331666667,-1.2916666667,-1.3583333333,85/13,6250,**
1740,GB,536,Beachy Head to Dungeness,50.5438333333,50.9796666667,-0.0376666667,-1.0843333333,88/11,75000,50°30'N
1740PlanA,GB,536,Plan A – Sovereign Harbour,50.7855,50.804,-0.3166666667,-0.3485,88/11,15000,DE
1741,GB,1892,"Dover Strait, Western Part",50.693,51.194,-0.8353333333,-1.9981666667,91/11,75000,50°30'N
1742,FR,7416,Abords Sud de Boulogne-sur-Mer du Tréport à Boulogne-sur-Mer,50.0233333333,50.7666666667,-0.955,-1.7383333333,98/06,75000,50°30'N
1743,FR,7247,Port de Boulogne-sur-Mer,50.6958333333,50.7946666667,-1.5125,-1.6186666667,91/11,10000,50°45'N
1744,FR,7207,Ports de Fécamp et du Tréport,,,,,91/06,12500,-0
1744PlanA,FR,7207,Plan A – Le Tréport,50.0416666667,50.1061666667,-1.281,-1.412,91/06,12500,-0
1744PlanB,FR,7207,Plan B – Fécamp,49.7366666667,49.7941666667,-0.2635,-0.3936666667,91/06,12500,-0
1745,FR,7317,Port De Dieppe,49.9141666667,49.9718333333,-1.0078333333,-1.1401666667,94/06,12500,49°56'N
1750,FR,7418,Abords du Havre et d’Antifer – Embouchure de la Seine de Ouistreham au Cap d’Antifer,49.25,49.8433333333,0.3466666667,-0.2766666667,97/07,45000,49°34'N
1751,FR,6683,Port du Havre – Entrée du Chenal de Rouen,49.419,49.5201666667,0.0123333333,-0.2153333333,77/06,15000,49°28'N
1752,FR,7419,"Côte Nord de France, La Seine – Du Havre à Rouen",,,,,89/07,Various,49°27'N
1752Part1,FR,7419,Part 1,49.4175,49.5141666667,0.143,-0.217,89/07,30000,-0
1752Part2,FR,7419,Part 2,49.4133333333,49.4991666667,-0.1666666667,-0.5,89/07,60100,-0
1752Part3,FR,7419,Part 3,49.3266666667,49.5275,-0.447,-1.082,89/07,60100,-0
1752PlanA,FR,7419,Plan A – Port de Rouen,49.3493333333,49.4333333333,-0.9703333333,-1.0413333333,89/07,15000,-0
1752PlanB,FR,7419,Plan B – Port de Rouen (Cont.),49.4158333333,49.4508333333,-1.011,-1.082,89/07,15000,-0
1753,FR,7092,"De la Pointe de Nacqueville au Cap Levi , Rade de Cherbourg",49.6225,49.7573333333,1.7513333333,1.4465,88/09,20000,49°41'N
1759,FR,7420,Ports en Baie-de Seine,,,,,99/06,17500,49°15'N
1759PlanA,FR,7420,Plan A – Port de Grandcamp - Maisy,49.3865,49.407,1.0673333333,1.0276666667,99/06,10000,-0
1759PlanB,FR,7420,Plan B – Port de Port-en-Bessin,49.3436666667,49.3626666667,0.7763333333,0.7391666667,99/06,10000,-0
1759PlanC,FR,7420,Plan C – Port de Courseulles-sur-Mer,49.3301666667,49.3556666667,0.475,0.4441666667,99/06,10000,-0
1759PlanD,FR,7420,Plan D – Rade de Caen – Port de Ouistreham,49.2323333333,49.3533333333,0.2813333333,0.1551666667,99/06,17500,-0
1759PlanE,FR,7420,Plan E – Port de Caen,49.1775,49.244,0.3596666667,0.2713333333,99/06,17500,-0
1759PlanF,FR,7420,Plan F – Port de Dives-sur-Mer – Port Guillaume,49.2913333333,49.315,0.108,0.0838333333,99/06,10000,-0
1759PlanG,FR,7420,Plan G - Port de Deauville – Trouville,49.3576666667,49.3811666667,-0.0553333333,-0.0908333333,99/06,10000,-0
1759PlanH,FR,7420,Plan H – Port de Honfleur,49.4158333333,49.4358333333,-0.2133333333,-0.253,99/06,10000,-0
