INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat
1062,GB,1121,"British Isles, Irish Sea with Saint George’s Channel and North Channel",51.15,55.7183333333,7.5333333333,2.5316666667,87/00,500000,55°00’N
1064,GB,1125,Western Approaches to Ireland,51.3666666667,54.4358333333,16,8.3448333333,85/,500000,55°00’N
1065,GB,1127,Outer Approaches to the North Channel,54.2216666667,57.05,15.1666666667,6.5,93/07,500000,55°00’N
1604,GB,2722,Skerryvore to Saint Kilda,56.0333333333,57.8446666667,9.1658333333,7,06/11,200000,58°00’N
1605,GB,2723,Western Approaches to the North Channel,54.9331666667,56.1605,9.432,6.1178333333,90/05,200000,58°00’N
1606,GB,2724,North Channel to the Firth of Lorn,54.5831666667,56.4633333333,6.6826666667,4.5178333333,06/,200000,58°00’N
1607,GB,1826,Irish Sea – Eastern Part,53.1168333333,55.0646666667,4.9328333333,2.768,92/13,200000,58°00’N
1608,GB,1411,Irish Sea – Western Part,52.7335,54.9336666667,6.4178333333,4.253,84/00,200000,58°00’N
1609,GB,1410,St. George’s Channel,51.6746666667,53,7.1678333333,3.8533333333,92/02,200000,58°00’N
1610,GB,1179,Bristol Channel,50.967,51.8226666667,5.0013333333,2.651,84/12,150000,51°00’N
1612,GB,2049,Old Head of Kinsale to Tuskar Rock,51.3333333333,52.234,8.5408333333,6.0833333333,95/12,150000,53°00'N
1613,GB,2424,Kenmare River to Cork Harbour,51.0833333333,51.9753333333,10.3745,7.9166666667,95/10,150000,53°00'N
1616,GB,2173,Loop Head to Slyne Head,52.5333333333,53.4101666667,11.0891666667,8.9006666667,84/,150000,53°00’N
1617,GB,2420,Aran Islands to Broad Haven Bay,53.1116666667,54.435,10.9533333333,9.5233333333,84/,150000,53°00'N
1627,GB,1796,Barra Head to Point of Ardnamurchan,56.4913333333,57.0773333333,7.8521666667,6.2176666667,88/09,100000,57°30’N
1634,GB,1907,Firth of Clyde Little Cumbrae Island to Cloch Point,55.7033333333,55.9466666667,5.1,4.8466666667,83/03,25000,**
1634PlanA,GB,1907,"Plan A – Loch Striven, Nato Fuel Jetty",55.8866666667,55.9003333333,5.071,5.046,83/03,10000,**
1635,GB,3746,Loch Long and Loch Goil,55.9381666667,56.1763333333,4.9663333333,4.7141666667,95/13,25000,**
1635PlanA,GB,3746,Plan A – Upper Loch Long,56.1128333333,56.2166666667,4.8463333333,4.7383333333,95/13,25000,**
1635PlanB,GB,3746,Plan B – Approaches to Finnart,56.0831666667,56.125,4.878,4.8238333333,95/13,12500,**
1636,GB,1994,Approaches to the River Clyde,55.9388333333,56.0098333333,4.9608333333,4.6988333333,91/13,15000,**
1636PlanA,GB,1994,Plan A - Greenock - Great Harbour,55.9383333333,55.9478333333,4.7291666667,4.7061666667,91/13,5000,**
1637,GB,2007,River Clyde,55.9221666667,56.0098333333,4.718,4.4778333333,95/10,15000,**
1637ContB,GB,2007,Continuation B,55.8865,55.9328333333,4.493,4.3911666667,95/10,,**
1637ContC,GB,2007,Continuation C,55.8648333333,55.8931666667,4.4046666667,4.3178333333,95/10,,**
1637ContD,GB,2007,Continuation D,55.8528333333,55.8695,4.333,4.2461666667,95/10,,**
1640,GB,2010,Morecambe Bay and Approaches,53.811,54.1063333333,3.5263333333,2.7823333333,88/13,50000,**
1641,GB,1552,Ports in Morecambe Bay,,,,,86/08,Various,**
1641PlanA,GB,1552,Plan A – River Luné and approaches to Heysham,53.9611666667,54.0566666667,3.0581666667,2.7803333333,86/08,25000,**
1641PlanB,GB,1552,Plan B – Approaches to Fleetwood,53.8506666667,53.997,3.0681666667,2.9615,86/08,25000,**
1641PlanC,GB,1552,Plan C – Fleetwood,53.9126666667,53.935,3.0181666667,2.9918333333,86/08,10000,**
1641PlanD,GB,1552,Plan D - Heysham,54.019,54.0415,2.9481666667,2.9083333333,86/08,110000,**
1641PlanE,GB,1552,Plan E - Glasson,53.9806666667,54.005,2.8871666667,2.8346666667,86/08,12500,**
1642,GB,1951,Approaches to Liverpool,53.4368333333,53.5808333333,3.3701666667,3.0013333333,83/13,25000,**
1643,GB,3490,Port of Liverpool,,,,,86/12,,
1643PlanA,GB,3490,Plan A -,53.3718333333,53.4703333333,3.0681666667,2.978,86/12,15000,**
1643PlanB,GB,3490,Plan B -,53.3176666667,53.4056666667,3.0148333333,2.8636666667,86/12,15000,**
1644,GB,3478,Manchester Ship Canal and Upper Mersey,53.3701666667,53.4868333333,2.6273333333,2.2591666667,93/01,25000,**
1644,GB,3478,Continuation to Eastham Locks,53.2701666667,53.3783333333,2.9558333333,2.5911666667,93/01,25000,**
1644PlanA,GB,3478,Plan A – Ellesmere Port and Stanlow Oil Docks,53.2848333333,53.2935,2.8998333333,2.8363333333,93/01,10000,**
1644PlanB,GB,3478,Plan B – Runcorn and Weston Point Docks,53.3238333333,53.3436666667,2.7648333333,2.7413333333,93/01,10000,**
1644PlanC,GB,3478,Plan C – Partington Basin,53.4235,53.4303333333,2.4301666667,2.4173333333,93/01,10000,**
1644PlanD,GB,3478,Plan D – Manchester Docks,53.4631666667,53.477,2.3098333333,2.2596666667,93/01,10000,**
1649,GB,3273,Entrance to Milford Haven,51.6025,51.715,5.2275,5.1063333333,01/13,12500,**
